SARGAM NOTATION v2 — ICCR-1854-AC SIDE B
=================================================================
Source: pYIN Notes | Sa = 87 Hz | Min duration = 40ms
Total notes: 2527

KEY:
  S=Sa  R=Re(sh)  r=Re(ko)  G=Ga(sh)  g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh)  d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)    . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note    duration   full_name
=================================================================

--- Minute 00 ---
  [00:00.58]  s.      0.176s   Sa — mandra saptak
  [00:00.78]  s.      0.213s   Sa — mandra saptak
  [00:01.21]  R'      0.176s   Re shuddh — taar saptak
  [00:01.40]  S       0.117s   Sa — madhya saptak
  [00:01.62]  S'      0.149s   Sa — taar saptak
  [00:02.86]  S       0.197s   Sa — madhya saptak
  [00:03.09]  S       0.496s   Sa — madhya saptak
  [00:03.62]  M       0.155s   Ma shuddh — madhya saptak
  [00:03.80]  s.      0.117s   Sa — mandra saptak
  [00:03.95]  s.      0.160s   Sa — mandra saptak
  [00:05.12]  S       0.176s   Sa — madhya saptak
  [00:05.34]  r       0.181s   Re komal — madhya saptak
  [00:06.21]  S       0.187s   Sa — madhya saptak
  [00:09.24]  s.      0.192s   Sa — mandra saptak
  [00:09.56]  G       0.133s   Ga shuddh — madhya saptak
  [00:11.87]  S       0.192s   Sa — madhya saptak
  [00:12.11]  R       0.176s   Re shuddh — madhya saptak
  [00:12.98]  S       0.187s   Sa — madhya saptak
  [00:13.18]  S       0.181s   Sa — madhya saptak
  [00:13.86]  s.      0.176s   Sa — mandra saptak
  [00:14.30]  D'      0.112s   Dha shuddh — taar saptak
  [00:14.42]  S'      0.171s   Sa — taar saptak
  [00:15.63]  R'      0.192s   Re shuddh — taar saptak
  [00:15.87]  G'      0.117s   Ga shuddh — taar saptak
  [00:16.06]  P'      0.517s   Pa — taar saptak
  [00:18.20]  R'      0.192s   Re shuddh — taar saptak
  [00:18.61]  S'      0.171s   Sa — taar saptak
  [00:18.81]  S       0.128s   Sa — madhya saptak
  [00:19.33]  G'      0.123s   Ga shuddh — taar saptak
  [00:19.61]  P'      0.283s   Pa — taar saptak
  [00:20.02]  P'      0.117s   Pa — taar saptak
  [00:20.18]  M+'     0.165s   Ma tivra — taar saptak
  [00:20.41]  G'      0.101s   Ga shuddh — taar saptak
  [00:21.00]  P'      0.267s   Pa — taar saptak
  [00:21.36]  R'      0.411s   Re shuddh — taar saptak
  [00:22.37]  N       0.331s   Ni shuddh — madhya saptak
  [00:22.81]  R'      0.139s   Re shuddh — taar saptak
  [00:23.02]  S       0.181s   Sa — madhya saptak
  [00:23.21]  N       0.181s   Ni shuddh — madhya saptak
  [00:24.37]  S       0.224s   Sa — madhya saptak
  [00:25.03]  G'      0.384s   Ga shuddh — taar saptak
  [00:25.42]  R'      0.133s   Re shuddh — taar saptak
  [00:25.59]  P'      0.229s   Pa — taar saptak
  [00:25.83]  P'      0.240s   Pa — taar saptak
  [00:26.70]  P'      0.101s   Pa — taar saptak
  [00:26.81]  D'      0.112s   Dha shuddh — taar saptak
  [00:26.99]  D'      0.240s   Dha shuddh — taar saptak
