SARGAM NOTATION — ICCR-1854-AC SIDE B
Excerpt: 9:00 – 9:40 (540s – 580s)
Times shown are offset from clip start (0:00 = 9:00 in original)
Sa = 98.0 Hz
KEY: S=Sa R=Re(sh) r=Re(ko) G=Ga(sh) g=Ga(ko) M=Ma(sh)
     M+=Ma(tivra) P=Pa D=Dha(sh) d=Dha(ko) N=Ni(sh) n=Ni(ko)
     ' = taar (upper octave)   . = mandra (lower octave)
FORMAT: [MM:SS.ss]  note  duration  full_name
============================================================

  [00:00.09]  R'      0.290s    Re shuddh — taar saptak
  [00:01.14]  M'      0.060s    Ma shuddh — taar saptak
  [00:01.29]  R'      0.040s    Re shuddh — taar saptak
  [00:01.33]  g'      0.290s    Ga komal — taar saptak
  [00:01.62]  R'      0.050s    Re shuddh — taar saptak
  [00:01.76]  R'      0.260s    Re shuddh — taar saptak
  [00:02.20]  S       0.080s    Sa — madhya saptak
  [00:03.42]  g'      0.040s    Ga komal — taar saptak
  [00:03.46]  R'      0.070s    Re shuddh — taar saptak
  [00:03.53]  r'      0.090s    Re komal — taar saptak
  [00:03.62]  S'      0.090s    Sa — taar saptak
  [00:04.01]  R'      0.240s    Re shuddh — taar saptak
  [00:04.25]  g'      0.080s    Ga komal — taar saptak
  [00:04.33]  R'      0.170s    Re shuddh — taar saptak
  [00:04.50]  g'      0.060s    Ga komal — taar saptak
  [00:04.68]  S'      0.180s    Sa — taar saptak
  [00:04.86]  r'      0.060s    Re komal — taar saptak
  [00:05.83]  R'      0.260s    Re shuddh — taar saptak
  [00:06.50]  M'      0.070s    Ma shuddh — taar saptak
  [00:07.13]  R'      0.060s    Re shuddh — taar saptak
  [00:07.19]  g'      0.090s    Ga komal — taar saptak
  [00:07.31]  g'      0.080s    Ga komal — taar saptak
  [00:07.39]  R'      0.260s    Re shuddh — taar saptak
  [00:07.89]  S       0.140s    Sa — madhya saptak
  [00:09.67]  S'      0.070s    Sa — taar saptak
  [00:10.06]  d'      0.060s    Dha komal — taar saptak
  [00:10.12]  P'      0.240s    Pa — taar saptak
  [00:10.43]  M'      0.290s    Ma shuddh — taar saptak
  [00:10.86]  R'      0.070s    Re shuddh — taar saptak
  [00:10.96]  S       0.240s    Sa — madhya saptak
  [00:11.23]  r'      0.060s    Re komal — taar saptak
  [00:11.29]  R'      0.160s    Re shuddh — taar saptak
  [00:11.82]  M+'     0.050s    Ma tivra — taar saptak
  [00:12.02]  R'      0.190s    Re shuddh — taar saptak
  [00:12.21]  g'      0.570s    Ga komal — taar saptak
  [00:12.91]  M'      0.080s    Ma shuddh — taar saptak
  [00:12.99]  G'      0.090s    Ga shuddh — taar saptak
  [00:13.08]  g'      0.070s    Ga komal — taar saptak
  [00:13.15]  R'      0.190s    Re shuddh — taar saptak
  [00:13.40]  R'      0.060s    Re shuddh — taar saptak
  [00:13.50]  R'      0.070s    Re shuddh — taar saptak
  [00:13.57]  r'      0.050s    Re komal — taar saptak
  [00:13.65]  S       0.170s    Sa — madhya saptak
  [00:13.82]  S'      0.050s    Sa — taar saptak
  [00:15.40]  P'      0.050s    Pa — taar saptak
  [00:15.65]  d'      0.070s    Dha komal — taar saptak
