sa_hz,conf,gap,min_dur,notes,score
92.51,0.69,0.064,0.019,11329,0.913911
92.51,0.69,0.064,0.019,11329,0.913911
92.51,0.69,0.064,0.019,11329,0.913911
92.51,0.69,0.064,0.019,11329,0.913911
92.51,0.69,0.064,0.019,11329,0.913911
92.51,0.69,0.064,0.019,11329,0.913911
92.52,0.748,0.061,0.02,11330,0.913902
92.52,0.747,0.064,0.014,11332,0.91383
92.53,0.714,0.07,0.011,11303,0.913827
92.53,0.714,0.07,0.011,11303,0.913827
92.53,0.714,0.07,0.011,11303,0.913827
92.53,0.714,0.07,0.011,11303,0.913827
92.53,0.714,0.07,0.011,11303,0.913827
92.53,0.714,0.07,0.011,11303,0.913827
92.48,0.674,0.066,0.015,11319,0.913808
92.47,0.654,0.068,0.018,11309,0.913705
92.47,0.743,0.062,0.013,11311,0.913701
92.47,0.708,0.065,0.02,11313,0.913679
92.54,0.743,0.062,0.019,11346,0.913662
92.54,0.672,0.072,0.014,11320,0.913652
92.54,0.608,0.069,0.014,11353,0.913634
92.55,0.65,0.062,0.018,11362,0.913627
92.55,0.65,0.062,0.014,11362,0.913627
92.54,0.703,0.074,0.016,11323,0.913625
92.46,0.654,0.063,0.015,11313,0.913623
92.46,0.579,0.067,0.015,11308,0.913608
92.54,0.684,0.061,0.019,11356,0.913607
92.53,0.701,0.088,0.019,11271,0.913572
92.53,0.595,0.088,0.012,11271,0.913572
92.55,0.69,0.06,0.011,11370,0.913537
92.53,0.733,0.083,0.02,11269,0.913467
92.53,0.733,0.083,0.011,11269,0.913467
92.53,0.636,0.06,0.017,11373,0.913444
92.56,0.747,0.06,0.019,11368,0.913377
92.56,0.647,0.061,0.017,11373,0.913344
92.56,0.672,0.063,0.017,11373,0.913344
92.53,0.696,0.058,0.014,11377,0.913331
92.54,0.748,0.058,0.014,11395,0.913248
92.48,0.751,0.058,0.017,11336,0.913245
92.48,0.751,0.058,0.011,11336,0.913245
92.45,0.59,0.053,0.014,11340,0.913216
92.45,0.639,0.051,0.014,11340,0.913216
92.53,0.751,0.054,0.019,11360,0.913187
92.59,0.647,0.061,0.017,11403,0.913171
92.56,0.751,0.075,0.013,11311,0.913164
92.41,0.676,0.064,0.019,11273,0.913123
92.52,0.741,0.043,0.015,11448,0.91308
92.52,0.641,0.043,0.014,11448,0.91308
92.56,0.749,0.055,0.015,11407,0.913038
92.41,0.711,0.065,0.015,11271,0.913026
92.45,0.753,0.081,0.012,11198,0.912999
92.59,0.73,0.06,0.011,11399,0.912995
92.4,0.669,0.065,0.018,11261,0.912946
92.59,0.614,0.082,0.015,11338,0.912927
92.59,0.695,0.083,0.02,11339,0.912908
92.45,0.596,0.043,0.016,11415,0.912903
92.43,0.731,0.057,0.018,11306,0.912899
92.59,0.661,0.059,0.017,11442,0.912804
92.44,0.636,0.048,0.013,11398,0.912755
92.62,0.724,0.073,0.013,11369,0.91275
92.39,0.663,0.064,0.019,11248,0.912708
92.63,0.676,0.072,0.017,11381,0.91267
92.41,0.71,0.054,0.015,11307,0.912653
92.53,0.575,0.036,0.015,11550,0.912628
92.4,0.699,0.059,0.016,11290,0.912487
92.45,0.569,0.035,0.015,11520,0.912412
92.36,0.727,0.07,0.02,11199,0.912337
92.67,0.726,0.069,0.018,11448,0.912302
92.36,0.726,0.066,0.018,11232,0.912302
92.35,0.743,0.06,0.014,11224,0.912203
92.35,0.747,0.071,0.013,11190,0.912182
92.39,0.595,0.043,0.013,11365,0.912164
92.39,0.614,0.049,0.015,11368,0.912161
92.49,0.696,0.023,0.018,11665,0.912136
92.35,0.743,0.086,0.018,11156,0.912051
92.42,0.73,0.036,0.015,11490,0.912031
92.34,0.682,0.07,0.011,11185,0.912013
92.36,0.595,0.052,0.014,11272,0.911963
92.65,0.613,0.043,0.012,11542,0.91195
92.69,0.524,0.063,0.014,11469,0.911942
92.69,0.733,0.068,0.016,11469,0.911942
92.7,0.666,0.072,0.016,11437,0.911919
92.36,0.563,0.05,0.016,11267,0.911903
92.69,0.725,0.055,0.014,11506,0.911885
92.7,0.635,0.06,0.012,11473,0.911884
92.65,0.753,0.087,0.01,11316,0.911868
92.41,0.759,0.068,0.012,11144,0.911821
92.7,0.691,0.064,0.019,11474,0.911818
92.34,0.734,0.063,0.014,11211,0.911794
92.69,0.726,0.056,0.015,11511,0.911793
92.71,0.595,0.061,0.011,11483,0.911741
92.69,0.679,0.05,0.014,11513,0.911728
92.45,0.762,0.089,0.018,11062,0.911715
92.7,0.694,0.054,0.018,11517,0.911669
92.32,0.666,0.062,0.016,11209,0.911596
92.34,0.663,0.058,0.02,11258,0.91157
92.31,0.662,0.078,0.011,11167,0.911479
92.31,0.662,0.078,0.011,11167,0.911479
92.72,0.736,0.058,0.013,11558,0.911349
