SARGAM NOTATION — MELODIC-FIDELITY CANDIDATE (self_improve_melody.py)
==============================================================================
Sa = 96.9500 Hz
Confidence = 0.5917  Gap = 0.0576s  Min duration = 0.0061s
Post-process: median_window=1  min_keep=0.0096s  bridge=0.0122s/0.1140s
Melody score = 0.94166  pitch=0.8835 coverage=1.0000 swara=0.9925 rest=1.0000
Mean abs cents = 25.6  Total notes: 13103

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = one taar octave; '' = two taar octaves; . = one mandra octave; .. = two mandra octaves

FORMAT: [MM:SS.ss]  note  duration  full_name
==============================================================================

--- Minute 00 ---
  [00:03.41]  M+'     0.010s   Ma tivra — taar saptak
  [00:03.42]  G'      0.110s   Ga shuddh — taar saptak
  [00:05.58]  R'      0.140s   Re shuddh — taar saptak
  [00:05.81]  g'      0.010s   Ga komal — taar saptak
  [00:05.85]  G'      0.060s   Ga shuddh — taar saptak
  [00:05.91]  M'      0.600s   Ma shuddh — taar saptak
  [00:06.51]  G'      0.060s   Ga shuddh — taar saptak
  [00:06.57]  M'      0.050s   Ma shuddh — taar saptak
  [00:06.65]  G'      0.080s   Ga shuddh — taar saptak
  [00:07.06]  R'      0.040s   Re shuddh — taar saptak
  [00:07.13]  M'      0.040s   Ma shuddh — taar saptak
  [00:07.17]  G'      0.050s   Ga shuddh — taar saptak
  [00:07.28]  P'      0.020s   Pa — taar saptak
  [00:07.35]  M'      0.010s   Ma shuddh — taar saptak
  [00:07.36]  M+'     0.020s   Ma tivra — taar saptak
  [00:07.38]  M'      0.030s   Ma shuddh — taar saptak
  [00:07.42]  G'      0.110s   Ga shuddh — taar saptak
  [00:07.57]  R'      0.090s   Re shuddh — taar saptak
  [00:07.66]  r'      0.030s   Re komal — taar saptak
  [00:08.01]  S'      0.020s   Sa — taar saptak
  [00:08.23]  D'      0.020s   Dha shuddh — taar saptak
  [00:08.49]  n       0.020s   Ni komal — madhya saptak
  [00:08.59]  n       0.010s   Ni komal — madhya saptak
  [00:08.78]  S'      0.010s   Sa — taar saptak
  [00:08.84]  R'      0.090s   Re shuddh — taar saptak
  [00:08.95]  g'      0.030s   Ga komal — taar saptak
