SARGAM NOTATION — IMPROVED (self_improve.py v2)
=================================================================
Sa = 92.525 Hz
Confidence = 0.7136  Gap = 0.07s  Min duration = 0.011s
Combined score = 0.91383  (0.65×chroma + 0.35×DTW)
Total notes: 11303

KEY:
  S=Sa  R=Re(sh) r=Re(ko)  G=Ga(sh) g=Ga(ko)  M=Ma(sh)
  M+=Ma(tivra)  P=Pa  D=Dha(sh) d=Dha(ko)  N=Ni(sh)  n=Ni(ko)
  ' = taar (upper octave)   . = mandra (lower octave)

FORMAT: [MM:SS.ss]  note  duration  full_name
=================================================================

--- Minute 00 ---
  [00:03.42]  M'      0.110s   Ma shuddh — taar saptak
  [00:05.58]  R'      0.030s   Re shuddh — taar saptak
  [00:05.61]  g'      0.110s   Ga komal — taar saptak
  [00:05.81]  G'      0.060s   Ga shuddh — taar saptak
  [00:05.87]  M'      0.050s   Ma shuddh — taar saptak
  [00:05.92]  M+'     0.580s   Ma tivra — taar saptak
  [00:06.50]  M'      0.080s   Ma shuddh — taar saptak
  [00:06.58]  M+'     0.040s   Ma tivra — taar saptak
  [00:06.65]  M'      0.080s   Ma shuddh — taar saptak
  [00:07.06]  R'      0.020s   Re shuddh — taar saptak
  [00:07.08]  g'      0.020s   Ga komal — taar saptak
  [00:07.14]  M+'     0.020s   Ma tivra — taar saptak
  [00:07.16]  M'      0.060s   Ma shuddh — taar saptak
  [00:07.28]  d'      0.020s   Dha komal — taar saptak
  [00:07.35]  M+'     0.050s   Ma tivra — taar saptak
  [00:07.42]  G'      0.020s   Ga shuddh — taar saptak
  [00:07.44]  M'      0.090s   Ma shuddh — taar saptak
  [00:07.57]  g'      0.080s   Ga komal — taar saptak
  [00:07.65]  R'      0.040s   Re shuddh — taar saptak
  [00:08.01]  r'      0.020s   Re komal — taar saptak
  [00:08.23]  n       0.020s   Ni komal — madhya saptak
  [00:08.49]  N       0.020s   Ni shuddh — madhya saptak
  [00:08.84]  g'      0.050s   Ga komal — taar saptak
  [00:08.92]  g'      0.060s   Ga komal — taar saptak
  [00:09.12]  g'      0.020s   Ga komal — taar saptak
  [00:09.14]  G'      0.040s   Ga shuddh — taar saptak
  [00:09.18]  M'      0.100s   Ma shuddh — taar saptak
  [00:09.28]  M+'     0.070s   Ma tivra — taar saptak
  [00:09.35]  M'      0.020s   Ma shuddh — taar saptak
  [00:09.37]  M+'     0.200s   Ma tivra — taar saptak
  [00:09.60]  M'      0.090s   Ma shuddh — taar saptak
  [00:09.69]  M+'     0.140s   Ma tivra — taar saptak
  [00:09.83]  M'      0.070s   Ma shuddh — taar saptak
  [00:09.90]  M+'     0.040s   Ma tivra — taar saptak
  [00:09.94]  M'      0.260s   Ma shuddh — taar saptak
  [00:10.24]  g'      0.090s   Ga komal — taar saptak
  [00:10.48]  M'      0.020s   Ma shuddh — taar saptak
  [00:10.50]  M+'     0.030s   Ma tivra — taar saptak
  [00:10.53]  M'      0.020s   Ma shuddh — taar saptak
  [00:10.55]  G'      0.030s   Ga shuddh — taar saptak
  [00:10.68]  M'      0.050s   Ma shuddh — taar saptak
  [00:10.73]  M+'     0.040s   Ma tivra — taar saptak
  [00:10.77]  M'      0.060s   Ma shuddh — taar saptak
  [00:10.90]  M'      0.060s   Ma shuddh — taar saptak
  [00:12.26]  P'      0.070s   Pa — taar saptak
  [00:12.33]  d'      0.030s   Dha komal — taar saptak
  [00:12.48]  M+'     0.030s   Ma tivra — taar saptak
  [00:12.55]  M'      0.040s   Ma shuddh — taar saptak
  [00:13.50]  M'      0.100s   Ma shuddh — taar saptak
  [00:13.64]  P'      0.150s   Pa — taar saptak
  [00:13.90]  P'      0.020s   Pa — taar saptak
  [00:13.96]  M'      0.030s   Ma shuddh — taar saptak
  [00:14.02]  g'      0.020s   Ga komal — taar saptak
  [00:14.11]  M+'     0.040s   Ma tivra — taar saptak
  [00:14.17]  G'      0.020s   Ga shuddh — taar saptak
  [00:14.21]  M+'     0.040s   Ma tivra — taar saptak
  [00:14.33]  D'      0.030s   Dha shuddh — taar saptak
  [00:14.37]  d'      0.040s   Dha komal — taar saptak
  [00:14.44]  N'      0.030s   Ni shuddh — taar saptak
  [00:14.48]  D'      0.030s   Dha shuddh — taar saptak
  [00:14.54]  S'      0.020s   Sa — taar saptak
  [00:14.61]  d'      0.040s   Dha komal — taar saptak
  [00:14.65]  D'      0.020s   Dha shuddh — taar saptak
  [00:14.70]  M+'     0.040s   Ma tivra — taar saptak
  [00:14.74]  P'      0.030s   Pa — taar saptak
  [00:14.77]  M+'     0.020s   Ma tivra — taar saptak
  [00:14.81]  G'      0.020s   Ga shuddh — taar saptak
  [00:14.85]  M+'     0.040s   Ma tivra — taar saptak
  [00:14.91]  g'      0.030s   Ga komal — taar saptak
  [00:14.94]  G'      0.030s   Ga shuddh — taar saptak
  [00:15.41]  n       0.110s   Ni komal — madhya saptak
  [00:15.52]  N       0.020s   Ni shuddh — madhya saptak
  [00:15.54]  n       0.050s   Ni komal — madhya saptak
  [00:15.62]  S'      0.030s   Sa — taar saptak
  [00:15.65]  r'      0.180s   Re komal — taar saptak
  [00:15.85]  g'      0.090s   Ga komal — taar saptak
  [00:15.94]  R'      0.020s   Re shuddh — taar saptak
  [00:15.96]  g'      0.030s   Ga komal — taar saptak
  [00:15.99]  R'      0.050s   Re shuddh — taar saptak
  [00:16.04]  g'      0.040s   Ga komal — taar saptak
  [00:16.08]  G'      0.030s   Ga shuddh — taar saptak
  [00:16.11]  M'      0.120s   Ma shuddh — taar saptak
  [00:16.23]  M+'     0.340s   Ma tivra — taar saptak
  [00:16.58]  M+'     0.180s   Ma tivra — taar saptak
  [00:16.80]  M'      0.060s   Ma shuddh — taar saptak
  [00:17.33]  R'      0.020s   Re shuddh — taar saptak
  [00:17.35]  g'      0.030s   Ga komal — taar saptak
  [00:17.38]  G'      0.020s   Ga shuddh — taar saptak
  [00:17.40]  M'      0.060s   Ma shuddh — taar saptak
  [00:17.47]  G'      0.020s   Ga shuddh — taar saptak
  [00:17.54]  D'      0.030s   Dha shuddh — taar saptak
  [00:17.61]  M'      0.020s   Ma shuddh — taar saptak
