time,frequency,confidence
0.000,223.362,0.065356
0.010,221.263,0.012929
0.020,222.721,0.573091
0.030,223.133,0.445223
0.040,223.584,0.376025
0.050,225.512,0.228588
0.060,227.280,0.283646
0.070,230.353,0.340875
0.080,231.127,0.134388
0.090,231.187,0.150474
0.100,227.121,0.074344
0.110,225.902,0.090997
0.120,223.199,0.144367
0.130,223.921,0.479325
0.140,223.221,0.211897
0.150,219.913,0.163621
0.160,220.769,0.364617
0.170,221.333,0.492374
0.180,223.148,0.413599
0.190,223.745,0.391102
0.200,220.838,0.505072
0.210,220.134,0.302349
0.220,206.932,0.032032
0.230,193.595,0.037753
0.240,183.841,0.056591
0.250,183.585,0.217658
0.260,181.154,0.479938
0.270,198.184,0.525314
0.280,219.581,0.131825
0.290,216.891,0.166650
0.300,217.615,0.487188
0.310,215.124,0.640184
0.320,214.736,0.482847
0.330,213.215,0.238907
0.340,213.490,0.194370
0.350,232.088,0.178022
0.360,264.717,0.265387
0.370,291.456,0.444924
0.380,290.632,0.440903
0.390,291.245,0.429386
0.400,267.188,0.107056
0.410,245.858,0.234759
0.420,228.465,0.200226
0.430,228.219,0.269123
0.440,222.012,0.256296
0.450,220.858,0.155100
0.460,230.483,0.109217
0.470,243.097,0.118509
0.480,258.437,0.184640
0.490,233.852,0.352433
0.500,238.045,0.247634
0.510,214.067,0.259431
0.520,217.539,0.213750
0.530,214.554,0.328784
0.540,219.545,0.258905
0.550,222.808,0.169685
0.560,228.299,0.354783
0.570,229.802,0.073036
0.580,236.820,0.059152
0.590,244.812,0.174858
0.600,248.518,0.148756
0.610,251.548,0.132250
0.620,253.600,0.148173
0.630,254.937,0.197238
0.640,257.153,0.252264
0.650,259.074,0.416713
0.660,258.625,0.371641
0.670,262.764,0.355262
0.680,263.750,0.305831
0.690,259.335,0.170724
0.700,262.870,0.140632
0.710,270.603,0.052890
0.720,277.796,0.053409
0.730,281.625,0.106385
0.740,279.776,0.129872
0.750,279.757,0.042230
0.760,272.459,0.163258
0.770,275.089,0.123495
0.780,275.632,0.057903
0.790,275.254,0.085286
0.800,278.331,0.254937
0.810,276.189,0.401231
0.820,278.342,0.270224
0.830,279.252,0.571732
0.840,278.226,0.202570
0.850,267.838,0.171934
0.860,259.470,0.125685
0.870,250.324,0.286832
0.880,226.054,0.206478
0.890,197.209,0.689368
0.900,175.796,0.730749
0.910,175.487,0.583262
0.920,176.741,0.566268
0.930,177.016,0.258958
0.940,176.978,0.231241
0.950,177.575,0.295917
0.960,177.778,0.437878
0.970,178.085,0.239865
0.980,174.988,0.263093
0.990,167.309,0.241122
1.000,167.162,0.230105
1.010,180.705,0.144040
1.020,193.944,0.062862
1.030,217.020,0.081275
1.040,230.565,0.119372
1.050,227.819,0.202673
1.060,226.013,0.554793
1.070,226.255,0.322392
1.080,227.536,0.304626
1.090,225.976,0.490643
1.100,220.532,0.647758
1.110,217.448,0.537479
1.120,204.203,0.186439
1.130,187.534,0.154212
1.140,183.922,0.425283
1.150,177.656,0.357895
1.160,173.259,0.322060
1.170,174.666,0.099867
1.180,177.105,0.046950
1.190,178.994,0.067820
1.200,185.343,0.032021
1.210,191.275,0.086858
1.220,192.395,0.031349
1.230,192.878,0.281631
1.240,192.910,0.260807
1.250,194.414,0.586253
1.260,194.186,0.778453
1.270,193.390,0.777813
1.280,193.258,0.583004
1.290,193.721,0.312014
1.300,194.271,0.529405
1.310,194.261,0.477873
1.320,192.945,0.202468
1.330,186.543,0.516407
1.340,178.504,0.686334
1.350,176.091,0.440462
1.360,176.628,0.545767
1.370,178.278,0.598914
1.380,178.970,0.337165
1.390,178.965,0.182521
1.400,180.023,0.383881
1.410,175.573,0.158182
1.420,173.111,0.170791
1.430,172.552,0.279835
1.440,171.777,0.613099
1.450,171.864,0.555898
1.460,172.608,0.585808
1.470,172.683,0.680926
1.480,172.753,0.592257
1.490,173.535,0.529687
1.500,172.494,0.285684
1.510,170.034,0.222784
