time,frequency,confidence
3.410,278.196,0.901503
3.420,246.361,0.907030
3.430,246.460,0.918825
3.440,246.436,0.914275
3.450,245.959,0.916901
3.460,245.182,0.925830
3.470,244.684,0.922555
3.480,244.326,0.928866
3.490,244.971,0.944525
3.500,245.984,0.930428
3.510,246.602,0.901577
3.520,246.017,0.885954
5.580,212.888,0.901255
5.590,213.054,0.926267
5.600,213.249,0.938055
5.610,214.209,0.916872
5.620,215.870,0.936513
5.630,217.232,0.914446
5.640,219.054,0.876994
5.650,219.750,0.868501
5.670,218.917,0.853545
5.680,219.418,0.884080
5.690,219.435,0.903489
5.700,218.466,0.936351
5.710,217.175,0.874138
5.810,234.461,0.851425
5.850,238.781,0.891628
5.860,239.170,0.929530
5.870,240.485,0.903358
5.880,243.340,0.915064
5.890,247.018,0.863228
5.900,250.107,0.902847
5.910,252.292,0.854708
5.920,255.247,0.864036
5.930,257.470,0.904779
5.940,258.489,0.910111
5.950,258.393,0.917415
5.960,258.209,0.920011
5.970,258.057,0.913685
5.980,258.886,0.930348
5.990,259.686,0.936801
6.000,259.328,0.947153
6.010,258.770,0.948883
6.020,258.956,0.953715
6.030,258.965,0.947174
6.040,258.883,0.942770
6.050,259.328,0.959764
6.060,260.195,0.955227
6.070,260.944,0.942602
6.080,261.664,0.966150
6.090,262.229,0.971602
6.100,262.466,0.973839
6.110,262.314,0.971887
6.120,261.394,0.953432
6.130,259.627,0.958220
6.140,258.081,0.945146
6.150,257.932,0.943764
6.160,259.338,0.961591
6.170,260.961,0.929590
6.180,261.361,0.949358
6.190,261.070,0.937816
6.200,260.995,0.941483
6.210,261.510,0.956048
6.220,262.288,0.962203
6.230,262.758,0.960809
6.240,262.292,0.964164
6.250,261.061,0.942478
6.260,259.428,0.952606
6.270,258.189,0.927675
6.280,258.468,0.940999
6.290,259.609,0.955353
6.300,260.487,0.946088
6.310,260.682,0.937174
6.320,260.287,0.949953
6.330,259.916,0.957025
6.340,260.161,0.944562
6.350,260.542,0.927387
6.360,260.516,0.929246
6.370,260.006,0.945169
6.380,259.376,0.950892
6.390,258.871,0.938837
6.400,258.745,0.924107
6.410,258.022,0.907804
6.420,257.666,0.935665
6.430,258.523,0.938467
6.440,259.444,0.956785
6.450,259.960,0.945888
6.460,260.288,0.938412
6.470,260.436,0.933323
6.480,258.484,0.920116
6.490,255.313,0.927841
6.500,252.344,0.913020
6.510,249.395,0.895110
6.520,246.640,0.906978
6.530,245.637,0.942537
6.540,245.716,0.936258
6.550,247.144,0.932378
6.560,250.672,0.937661
6.570,253.342,0.952095
6.580,256.028,0.961520
6.590,257.913,0.943026
6.600,257.820,0.916463
6.610,254.631,0.860741
6.650,241.013,0.877357
6.660,240.976,0.919867
6.670,241.375,0.929975
6.680,241.344,0.942453
6.690,241.529,0.945956
6.700,241.956,0.922498
6.710,242.898,0.878810
6.720,242.943,0.863350
7.060,211.468,0.870947
7.070,213.669,0.911949
7.080,215.814,0.913852
7.090,219.525,0.873001
7.130,253.735,0.921962
7.140,256.693,0.969821
7.150,255.929,0.959700
7.160,252.384,0.901052
7.170,245.723,0.886850
7.180,242.922,0.919371
7.190,242.263,0.929107
7.200,244.889,0.912660
7.210,248.778,0.802232
7.280,285.681,0.824605
7.290,286.775,0.825997
7.350,263.711,0.865055
7.360,266.880,0.936011
7.370,267.171,0.930439
7.380,264.701,0.933266
